Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG,npxG,xA,npxG+xA,xG_90,xA_90,xG+xA_90,npxG_90,npxG+xA_90
Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,de Bundesliga,24-120,1997,12,2,418,4.6,0,1,0,0,0,0,0,0,0.22,0.22,0,0.22,0.2,0.2,0.6,0.8,0.05,0.12,0.17,0.05,0.17
Mathias Jensen\0f134faf,dk DEN,MF,Brentford,eng Premier League,26-006,1996,13,8,718,8,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,0.2,0.2,1.2,1.3,0.02,0.15,0.17,0.02,0.17
Moritz Jenz\ee644761,de GER,DF,Lorient,fr Ligue 1,22-252,1999,9,9,774,8.6,1,0,1,0,0,3,1,0.12,0,0.12,0.12,0.12,0.8,0.8,0.1,0.8,0.09,0.01,0.1,0.09,0.1
Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,eng Premier League,24-279,1997,17,15,1290,14.3,2,7,2,0,0,0,0,0.14,0.49,0.63,0.14,0.63,5.2,5.2,3.4,8.6,0.36,0.24,0.6,0.36,0.6
Juan Jesus\79083382,br BRA,DF,Napoli,it Serie A,30-211,1991,10,6,565,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.05,0.02,0.07,0.05,0.07
Álvaro Jiménez\5f5501ed,es ESP,MFFW,Cádiz,es La Liga,26-233,1995,9,1,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08
Raúl Jiménez\b561db50,mx MEX,FW,Wolves,eng Premier League,30-247,1991,18,17,1474,16.4,3,2,3,0,0,5,1,0.18,0.12,0.31,0.18,0.31,3.3,3.3,1.7,5,0.2,0.1,0.31,0.2,0.31
Joaquín\4c5b14d2,es ESP,FW,Betis,es La Liga,40-170,1981,9,0,117,1.3,0,1,0,0,0,0,0,0,0.77,0.77,0,0.77,0.4,0.4,0.7,1.1,0.32,0.55,0.86,0.32,0.86
Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,eng Premier League,25-146,1996,18,13,1213,13.5,1,1,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15,1.4,1.4,1,2.4,0.1,0.08,0.18,0.1,0.18
Jofre\030ef8d6,es ESP,DF,Espanyol,es La Liga,20-204,2001,1,0,10,0.1,0,1,0,0,0,0,0,0,9,9,0,9,0,0,0.3,0.3,0,3.14,3.14,0,3.14
Marco John\d9e196bf,de GER,DF,Hoffenheim,de Bundesliga,19-280,2002,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Johnsen\66784dee,no NOR,FWMF,Venezia,it Serie A,23-324,1998,14,12,986,11,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,0.9,0.9,1.8,2.7,0.09,0.16,0.25,0.09,0.25
Ben Johnson\9319781b,eng ENG,DF,West Ham,eng Premier League,21-348,2000,11,10,801,8.9,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04
Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,eng Premier League,20-342,2001,6,3,323,3.6,1,1,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56,0.4,0.4,0.2,0.6,0.12,0.04,0.17,0.12,0.17
Phil Jones\def899bd,eng ENG,DF,Manchester Utd,eng Premier League,29-320,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Frenkie de Jong\1bacc518,nl NED,MF,Barcelona,es La Liga,24-240,1997,16,15,1301,14.5,1,2,1,0,0,4,1,0.07,0.14,0.21,0.07,0.21,1.8,1.8,2.1,3.9,0.13,0.14,0.27,0.13,0.27
Luuk de Jong\abb3bb95,nl NED,FW,Barcelona,es La Liga,31-133,1990,10,4,416,4.6,2,0,2,0,0,0,0,0.43,0,0.43,0.43,0.43,2,2,0.2,2.2,0.44,0.04,0.48,0.44,0.48
Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,es La Liga,27-185,1994,19,16,1288,14.3,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.7,0.7,0.8,1.5,0.05,0.05,0.1,0.05,0.1
Kaio Jorge\0cf465f2,br BRA,MFFW,Juventus,it Serie A,19-348,2002,9,0,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,0.65,0.07,0.72,0.65,0.72
Jorginho\45db685d,it ITA,MF,Chelsea,eng Premier League,30-018,1991,18,15,1374,15.3,6,1,0,6,6,3,0,0.39,0.07,0.46,0,0.07,4.9,0.3,2,2.3,0.32,0.13,0.45,0.02,0.15
Josan\5b28b2f6,es ESP,DFMF,Elche,es La Liga,32-035,1989,13,6,580,6.4,1,1,1,0,0,1,0,0.16,0.16,0.31,0.16,0.31,0.6,0.6,1.2,1.8,0.1,0.18,0.28,0.1,0.28
Willian José\d87e2cae,br BRA,FW,Betis,es La Liga,30-045,1991,16,13,1023,11.4,6,4,4,2,2,2,0,0.53,0.35,0.88,0.35,0.7,4.5,3,2.2,5.2,0.4,0.2,0.59,0.26,0.46
Joselu\6265208f,es ESP,FW,Alavés,es La Liga,31-286,1990,19,17,1579,17.5,10,2,5,5,5,0,0,0.57,0.11,0.68,0.28,0.4,7.2,3.4,2.4,5.8,0.41,0.14,0.55,0.19,0.33
Josema\ed3f5f4c,es ESP,DF,Elche,es La Liga,25-215,1996,5,1,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.06,0.06,0,0.06
Lenny Joseph\d1828392,fr FRA,FWMF,Metz,fr Ligue 1,21-087,2000,3,0,59,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Jota\178ae8f8,pt POR,FW,Liverpool,eng Premier League,25-034,1996,19,16,1372,15.2,10,1,10,0,0,1,0,0.66,0.07,0.72,0.66,0.72,10.6,10.6,3.6,14.1,0.69,0.23,0.93,0.69,0.93
Stevan Jovetić\f36c432f,me MNE,FWMF,Hertha BSC,de Bundesliga,32-066,1989,10,7,543,6,5,0,5,0,0,0,0,0.83,0,0.83,0.83,0.83,2.5,2.5,1,3.6,0.42,0.17,0.59,0.42,0.59
Luka Jović\4d8cd038,rs SRB,FW,Real Madrid,es La Liga,24-015,1997,10,0,217,2.4,1,2,1,0,0,0,0,0.41,0.83,1.24,0.41,1.24,1.2,1.2,0.8,2,0.48,0.33,0.81,0.48,0.81
Miguel Juan Llambrich\d83f09ff,es ESP,DF,Espanyol,es La Liga,25-354,1996,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Juan Macías\1f1c8a15,mx MEX,FWMF,Getafe,es La Liga,22-107,1999,7,2,201,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.09,0,0.09,0.09,0.09
Juanmi\84399660,es ESP,FW,Betis,es La Liga,28-232,1993,17,13,1057,11.7,11,1,11,0,0,3,0,0.94,0.09,1.02,0.94,1.02,6.1,6.1,1,7,0.52,0.08,0.6,0.52,0.6
Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,de Bundesliga,27-117,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavio Junior Bianchi\3ef965c1,it ITA,FWMF,Genoa,it Serie A,21-348,2000,7,4,314,3.5,1,0,1,0,0,0,0,0.29,0,0.29,0.29,0.29,0.9,0.9,0.1,1,0.26,0.03,0.29,0.26,0.29
Hamed Junior Traorè\570bb4b9,ci CIV,MFFW,Sassuolo,it Serie A,21-325,2000,17,9,798,8.9,1,1,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,0.8,0.8,1.9,2.7,0.09,0.21,0.31,0.09,0.31
Lago Junior\360d70f8,ci CIV,FWMF,Mallorca,es La Liga,31-007,1990,6,1,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.16,0,0.16,0.16,0.16
Vinicius Júnior\7111d552,br BRA,FWMF,Real Madrid,es La Liga,21-179,2000,19,17,1512,16.8,10,4,10,0,0,4,0,0.6,0.24,0.83,0.6,0.83,6.8,6.8,2.8,9.6,0.4,0.17,0.57,0.4,0.57
Jutglà\2a9f6b4d,es ESP,FW,Barcelona,es La Liga,22-340,1999,4,3,234,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,1.5,1.5,0.3,1.9,0.59,0.13,0.73,0.59,0.73
Jens Jønsson\53520a67,dk DEN,MF,Cádiz,es La Liga,28-362,1993,17,14,1064,11.8,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,0.3,0.3,0.9,1.2,0.03,0.08,0.1,0.03,0.1
Mathias Jørgensen\0db5d2c8,dk DEN,DF,Brentford,eng Premier League,31-259,1990,7,5,428,4.8,1,0,1,0,0,2,0,0.21,0,0.21,0.21,0.21,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04
Ozan Kabak\2d61d13a,tr TUR,DF,Norwich City,eng Premier League,21-288,2000,9,9,742,8.2,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.03,0.02,0.03
Christian Kabasele\914ab9a1,be BEL,DF,Watford,eng Premier League,30-317,1991,3,2,203,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0.1
Issa Kaboré\c066d1a5,bf BFA,DF,Troyes,fr Ligue 1,20-240,2001,17,13,1061,11.8,0,1,0,0,0,5,1,0,0.08,0.08,0,0.08,0.1,0.1,1.6,1.7,0.01,0.13,0.14,0.01,0.14
Pavel Kadeřábek\79c90e45,cz CZE,DF,Hoffenheim,de Bundesliga,29-257,1992,8,5,470,5.2,1,0,1,0,0,3,0,0.19,0,0.19,0.19,0.19,1.2,1.2,1.3,2.5,0.22,0.26,0.48,0.22,0.48
Tino Kadewere\7d08063d,zw ZIM,FW,Lyon,fr Ligue 1,26-002,1996,5,1,152,1.7,0,0,0,0,0,0,1,0,0,0,0,0,1.1,1.1,0,1.1,0.66,0,0.66,0.66,0.66
Florian Kainz\94c18565,at AUT,MFFW,Köln,de Bundesliga,29-075,1992,16,15,1161,12.9,2,2,2,0,0,2,1,0.16,0.16,0.31,0.16,0.31,2.1,2.1,2.8,5,0.16,0.22,0.38,0.16,0.38
Gaël Kakuta\5b1bf5e3,cd COD,MFFW,Lens,fr Ligue 1,30-200,1991,15,11,938,10.4,2,1,2,0,0,1,0,0.19,0.1,0.29,0.19,0.29,2.3,2.3,2.5,4.8,0.22,0.24,0.46,0.22,0.46
Sasa Kalajdzic\15f24fe7,at AUT,FW,Stuttgart,de Bundesliga,24-184,1997,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaud Kalimuendo\bf4c41f9,fr FRA,FW,Paris S-G,fr Ligue 1,19-351,2002,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaud Kalimuendo\bf4c41f9,fr FRA,FW,Lens,fr Ligue 1,19-351,2002,14,12,896,10,6,0,5,1,1,1,1,0.6,0,0.6,0.5,0.5,4.6,3.8,0.8,4.6,0.46,0.08,0.54,0.38,0.47
Nikola Kalinić\d4931a5a,hr CRO,FW,Hellas Verona,it Serie A,34-002,1988,10,4,332,3.7,3,0,3,0,0,4,1,0.81,0,0.81,0.81,0.81,2.4,2.4,0.6,3,0.65,0.16,0.81,0.65,0.81
Yayah Kallon\f95f49d2,sl SLE,FWMF,Genoa,it Serie A,20-191,2001,13,5,602,6.7,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,1.1,1.1,1,2.2,0.17,0.15,0.32,0.17,0.32
Felix Kalu Nmecha\091c86e2,eng ENG,FWMF,Wolfsburg,de Bundesliga,21-089,2000,7,1,155,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14
Samuel Kalu\b8d22478,ng NGA,FWMF,Bordeaux,fr Ligue 1,24-134,1997,11,3,328,3.6,1,1,1,0,0,1,0,0.27,0.27,0.55,0.27,0.55,0.8,0.8,0.2,1,0.23,0.05,0.28,0.23,0.28
Pierre Kalulu\85f7d1be,fr FRA,DF,Milan,it Serie A,21-216,2000,12,6,591,6.6,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,0.4,0.4,0.2,0.5,0.05,0.03,0.08,0.05,0.08
Daichi Kamada\15b287da,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,25-155,1996,16,13,1162,12.9,1,1,1,0,0,0,0,0.08,0.08,0.15,0.08,0.15,2.3,2.3,1.7,4,0.18,0.13,0.31,0.18,0.31
Boubacar Kamara\cc77354e,fr FRA,MF,Marseille,fr Ligue 1,22-045,1999,15,12,1104,12.3,1,0,1,0,0,4,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0.5,1.2,0.05,0.04,0.1,0.05,0.1
Hassane Kamara\19a12bed,ci CIV,MFDF,Nice,fr Ligue 1,27-110,1994,11,7,544,6,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1.1,2.1,0.16,0.18,0.34,0.16,0.34
Kevin Kampl\b825a650,si SVN,MF,RB Leipzig,de Bundesliga,31-090,1990,15,13,998,11.1,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,0.5,0.5,1.1,1.6,0.04,0.1,0.14,0.04,0.14
Nordine Kandil\c5908bc4,fr FRA,FW,Strasbourg,fr Ligue 1,20-068,2001,2,0,29,0.3,0,1,0,0,0,0,0,0,3.1,3.1,0,3.1,0,0,0.4,0.4,0,1.12,1.12,0,1.12
Harry Kane\21a66f6a,eng ENG,FW,Tottenham,eng Premier League,28-163,1993,17,16,1432,15.9,4,1,3,1,1,3,0,0.25,0.06,0.31,0.19,0.25,7.6,6.9,2.7,9.6,0.48,0.17,0.65,0.43,0.6
Lee Kangin\8455ad90,kr KOR,MFFW,Mallorca,es La Liga,20-322,2001,15,13,997,11.1,1,2,1,0,0,4,1,0.09,0.18,0.27,0.09,0.27,0.8,0.8,1.4,2.2,0.07,0.13,0.2,0.07,0.2
N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,eng Premier League,30-284,1991,12,9,761,8.5,2,1,2,0,0,1,0,0.24,0.12,0.35,0.24,0.35,0.8,0.8,0.9,1.7,0.1,0.1,0.2,0.1,0.2
Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,de Bundesliga,27-295,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atakan Karazor\5762be5c,de GER,MFDF,Stuttgart,de Bundesliga,25-086,1996,13,12,935,10.4,0,1,0,0,0,5,1,0,0.1,0.1,0,0.1,0.1,0.1,0.8,0.9,0.01,0.08,0.09,0.01,0.09
Rick Karsdorp\9f84febe,nl NED,DF,Roma,it Serie A,26-330,1995,19,19,1651,18.3,0,1,0,0,0,7,1,0,0.05,0.05,0,0.05,0,0,2.5,2.5,0,0.13,0.14,0,0.14
Grigoris Kastanos\2a82aa85,cy CYP,MF,Salernitana,it Serie A,23-342,1998,11,9,678,7.5,0,1,0,0,0,1,1,0,0.13,0.13,0,0.13,0.8,0.8,1.1,1.9,0.11,0.14,0.25,0.11,0.25
Silas Katompa\de4cac2d,cd COD,FWDF,Stuttgart,de Bundesliga,23-093,1998,5,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Noah Katterbach\e27de4fa,de GER,DF,Köln,de Bundesliga,20-269,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moise Kean\3d50bcdb,it ITA,FW,Everton,eng Premier League,21-313,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moise Kean\3d50bcdb,it ITA,FW,Juventus,it Serie A,21-313,2000,14,6,516,5.7,3,0,3,0,0,2,0,0.52,0,0.52,0.52,0.52,2,2,0,2,0.35,0,0.35,0.35,0.35
Michael Keane\c5b7c315,eng ENG,DF,Everton,eng Premier League,28-361,1993,18,18,1620,18,1,2,1,0,0,0,0,0.06,0.11,0.17,0.06,0.17,0.8,0.8,0.6,1.4,0.04,0.03,0.08,0.04,0.08
Ilan Kebbal\37d04e90,dz ALG,MFFW,Reims,fr Ligue 1,23-182,1998,17,12,1102,12.2,1,4,1,0,0,1,0,0.08,0.33,0.41,0.08,0.41,0.8,0.8,2.2,3,0.06,0.18,0.24,0.06,0.24
Wajdi Kechrida\11962fe7,tn TUN,DFMF,Salernitana,it Serie A,26-063,1995,14,8,766,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1,0.03,0.09,0.12,0.03,0.12
Thilo Kehrer\51dbeea9,de GER,DF,Paris S-G,fr Ligue 1,25-108,1996,12,9,874,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habib Keita\cc588cbe,ml MLI,MF,Lyon,fr Ligue 1,19-336,2002,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.86,0,0.86,0.86,0.86
Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,eng Premier League,26-331,1995,11,6,527,5.9,2,1,2,0,0,1,0,0.34,0.17,0.51,0.34,0.51,1.1,1.1,0.9,2,0.18,0.16,0.35,0.18,0.35
Yannik Keitel\d2c580ce,de GER,MF,Freiburg,de Bundesliga,21-326,2000,10,5,473,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0,0.8,0.15,0.01,0.16,0.15,0.16
Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,eng Premier League,23-045,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc-Oliver Kempf\815c314f,de GER,DF,Stuttgart,de Bundesliga,26-344,1995,12,10,840,9.3,3,0,3,0,0,2,0,0.32,0,0.32,0.32,0.32,1,1,0.6,1.6,0.11,0.06,0.17,0.11,0.17
Jonjoe Kenny\099e666f,eng ENG,DF,Everton,eng Premier League,24-298,1997,3,2,176,2,0,1,0,0,0,1,0,0,0.51,0.51,0,0.51,0,0,0.2,0.2,0.01,0.08,0.09,0.01,0.09
Franck Kessié\05e19d6a,ci CIV,MF,Milan,it Serie A,25-019,1996,16,13,1192,13.2,5,0,3,2,3,1,0,0.38,0,0.38,0.23,0.23,3.6,1.2,0.8,2.1,0.27,0.06,0.33,0.09,0.16
Saîf-Eddine Khaoui\796b1c41,tn TUN,MF,Clermont Foot,fr Ligue 1,26-255,1995,10,2,310,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.08,0.07,0.15,0.08,0.15
Wahbi Khazri\2677a1de,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,30-333,1991,19,18,1520,16.9,7,0,4,3,3,3,0,0.41,0,0.41,0.24,0.24,5.3,3,2,5,0.31,0.12,0.43,0.18,0.29
Rani Khedira\59e4b92e,de GER,MF,Union Berlin,de Bundesliga,27-345,1994,16,16,1350,15,0,0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06
Kike\e897d8ba,es ESP,FW,Osasuna,es La Liga,32-043,1989,17,14,1235,13.7,3,0,2,1,1,1,0,0.22,0,0.22,0.15,0.15,4.4,3.7,0.8,4.5,0.32,0.06,0.38,0.27,0.33
Luca Kilian\610aa1e9,de GER,FW,Mainz 05,de Bundesliga,22-128,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Kilian\610aa1e9,de GER,DF,Köln,de Bundesliga,22-128,1999,13,8,775,8.6,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.04,0.01,0.06,0.04,0.06
Max Kilman\d0f72bf1,eng ENG,DF,Wolves,eng Premier League,24-229,1997,19,19,1709,19,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,0.7,0.7,0,0.8,0.04,0,0.04,0.04,0.04
Joshua Kimmich\49296448,de GER,MF,Bayern Munich,de Bundesliga,26-333,1995,11,11,971,10.8,3,3,3,0,0,0,0,0.28,0.28,0.56,0.28,0.56,1.7,1.7,3.2,4.8,0.15,0.29,0.45,0.15,0.45
Presnel Kimpembe\aef6e670,fr FRA,DF,Paris S-G,fr Ligue 1,26-147,1995,15,14,1251,13.9,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02
Joshua King\43458538,no NOR,FWMF,Watford,eng Premier League,29-357,1992,16,15,1266,14.1,5,3,4,1,1,3,0,0.36,0.21,0.57,0.28,0.5,6.2,5.4,2.1,7.5,0.44,0.15,0.59,0.38,0.53
Jakub Kiwior\dc3e663e,pl POL,MFDF,Spezia,it Serie A,21-326,2000,5,4,434,4.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Sofian Kiyine\ce1806be,ma MAR,MFFW,Venezia,it Serie A,24-097,1997,14,10,808,9,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,1.8,2.3,0.06,0.19,0.26,0.06,0.26
Simon Kjær\8b8a56ce,dk DEN,DF,Milan,it Serie A,32-287,1989,11,10,802,8.9,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.3,1,0.07,0.04,0.11,0.07,0.11
Philipp Klement\0cddeaa7,de GER,MFFW,Stuttgart,de Bundesliga,29-120,1992,6,3,338,3.8,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.3,0.3,0.9,1.2,0.08,0.25,0.32,0.08,0.32
Mateusz Klich\282679b4,pl POL,MF,Leeds United,eng Premier League,31-208,1990,14,11,946,10.5,1,2,1,0,0,2,0,0.1,0.19,0.29,0.1,0.29,1.3,1.3,1.8,3.1,0.13,0.17,0.29,0.13,0.29
Mateo Klimowicz\2b7c56b4,de GER,FWMF,Stuttgart,de Bundesliga,21-185,2000,12,7,572,6.4,0,1,0,0,0,2,0,0,0.16,0.16,0,0.16,0.9,0.9,0.4,1.3,0.14,0.06,0.21,0.14,0.21
Fabian Klos\e21042ae,de GER,FW,Arminia,de Bundesliga,34-036,1987,17,13,1151,12.8,3,1,1,2,2,1,1,0.23,0.08,0.31,0.08,0.16,4.8,3.2,1.2,4.4,0.37,0.09,0.47,0.25,0.35
Lukas Klostermann\ca8033cb,de GER,DF,RB Leipzig,de Bundesliga,25-219,1996,10,9,782,8.7,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,0.2,0.2,0.3,0.4,0.02,0.03,0.05,0.02,0.05
Justin Kluivert\4c3a6744,nl NED,MF,Nice,fr Ligue 1,22-247,1999,10,9,651,7.2,2,2,2,0,0,2,0,0.28,0.28,0.55,0.28,0.55,1.1,1.1,1.9,3,0.15,0.27,0.42,0.15,0.42
Lukas Klünter\92948149,de GER,DF,Hertha BSC,de Bundesliga,25-226,1996,3,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.26,0.26,0,0.26
Ansgar Knauff\19a967ab,de GER,FWMF,Dortmund,de Bundesliga,19-362,2002,5,0,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.11,0.18,0.07,0.18
Robin Knoche\6bd5cd5d,de GER,DF,Union Berlin,de Bundesliga,29-230,1992,17,17,1530,17,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0,0.02,0.01,0.02
Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,de Bundesliga,24-032,1997,16,16,1395,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Koch\ea6bc03a,de GER,DFMF,Leeds United,eng Premier League,25-174,1996,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippe Koffi\9f1c2822,fr FRA,FW,Reims,fr Ligue 1,19-304,2002,8,1,225,2.5,1,0,1,0,0,1,0,0.4,0,0.4,0.4,0.4,0.7,0.7,0.2,0.9,0.29,0.08,0.37,0.29,0.37
Dominik Kohr\0fbecd11,de GER,MF,Mainz 05,de Bundesliga,27-341,1994,10,9,763,8.5,0,1,0,0,0,5,1,0,0.12,0.12,0,0.12,0.7,0.7,0.8,1.5,0.08,0.1,0.18,0.08,0.18
Koba Koindredi\3a58d075,fr FRA,MF,Valencia,es La Liga,20-072,2001,7,1,113,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Koke\55126f3b,es ESP,MF,Atlético Madrid,es La Liga,29-364,1992,15,15,1325,14.7,0,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.8,1.5,0.05,0.05,0.1,0.05,0.1
Aleksandr Kokorin\fec5accc,ru RUS,FWMF,Fiorentina,it Serie A,30-294,1991,4,0,32,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Kolarov\eda40760,rs SRB,DF,Inter,it Serie A,36-058,1985,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,eng Premier League,28-201,1993,2,1,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randal Kolo Muani\c0b3669f,fr FRA,FW,Nantes,fr Ligue 1,23-033,1998,18,17,1505,16.7,7,2,7,0,0,1,0,0.42,0.12,0.54,0.42,0.54,4.8,4.8,1.9,6.7,0.29,0.11,0.4,0.29,0.4
Timothée Kolodziejczak\ab096c6f,fr FRA,DF,Saint-Étienne,fr Ligue 1,30-098,1991,16,16,1358,15.1,1,2,1,0,0,2,1,0.07,0.13,0.2,0.07,0.2,1.5,1.5,0.6,2.1,0.1,0.04,0.14,0.1,0.14
Ghislain Konan\6b2c894b,ci CIV,DF,Reims,fr Ligue 1,26-011,1995,17,17,1483,16.5,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,0.4,0.4,1.9,2.2,0.02,0.11,0.14,0.02,0.14
Ibrahima Konaté\5ed9b537,fr FRA,DF,Liverpool,eng Premier League,22-227,1999,7,7,630,7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03
Geoffrey Kondogbia\cce181df,cf CTA,MFDF,Atlético Madrid,es La Liga,28-326,1993,14,9,842,9.4,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03
Kouadio Koné\86574238,fr FRA,MF,M'Gladbach,de Bundesliga,20-235,2001,11,11,870,9.7,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.04,0.06,0.1,0.04,0.1
Youssouf Koné\e6eadfb8,ml MLI,DF,Troyes,fr Ligue 1,26-186,1995,12,6,542,6,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.02,0.04,0.06,0.02,0.06
Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,eng Premier League,24-076,1997,18,18,1577,17.5,2,0,2,0,0,3,1,0.11,0,0.11,0.11,0.11,1.4,1.4,0.2,1.6,0.08,0.01,0.09,0.08,0.09
