Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG,npxG,xA,npxG+xA,xG_90,xA_90,xG+xA_90,npxG_90,npxG+xA_90
Farid Boulaya\a0791826,dz ALG,MFFW,Metz,fr Ligue 1,28-316,1993,11,8,740,8.2,3,1,3,0,0,0,1,0.36,0.12,0.49,0.36,0.49,1,1,1.4,2.5,0.13,0.17,0.3,0.13,0.3
Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,es La Liga,30-277,1991,17,17,1530,17,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0,0,0.5,0.5,0,0.03,0.03,0,0.03
Ismaëlben Boura\62e02107,fr FRA,DF,Lens,fr Ligue 1,21-146,2000,5,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Mehdi Bourabia\0d077b88,ma MAR,MF,Spezia,it Serie A,30-153,1991,6,2,251,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0,0,0,0.1,0.01,0.01,0.03,0.01,0.03
Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,fr Ligue 1,27-358,1994,19,19,1585,17.6,2,4,2,0,0,1,0,0.11,0.23,0.34,0.11,0.34,2.1,2.1,5.6,7.7,0.12,0.32,0.44,0.12,0.44
Redwan Bourles\5c7895a0,fr FRA,MFDF,Lorient,fr Ligue 1,19-005,2003,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edoardo Bove\ae94a6c5,it ITA,MFDF,Roma,it Serie A,19-236,2002,5,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,eng Premier League,25-018,1996,20,19,1674,18.6,3,7,3,0,0,2,0,0.16,0.38,0.54,0.16,0.54,5.6,5.6,4.1,9.7,0.3,0.22,0.52,0.3,0.52
Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,de Bundesliga,31-040,1990,11,11,904,10,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08
Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,es La Liga,25-313,1996,15,14,1156,12.8,5,1,5,0,0,2,0,0.39,0.08,0.47,0.39,0.47,3.5,3.5,1.2,4.6,0.27,0.09,0.36,0.27,0.36
Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,fr Ligue 1,22-028,1999,5,1,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.15,0.15,0,0.15
Bilal Brahimi\02bcaf8e,fr FRA,FWMF,Angers,fr Ligue 1,21-299,2000,6,0,104,1.2,0,1,0,0,0,0,0,0,0.87,0.87,0,0.87,0.1,0.1,0.5,0.6,0.1,0.45,0.55,0.1,0.55
Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,es La Liga,30-216,1991,3,3,224,2.5,2,1,2,0,0,0,0,0.8,0.4,1.21,0.8,1.21,1,1,1.3,2.3,0.42,0.5,0.92,0.42,0.92
